"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.607,0.767,5,-6.069,0,0.0474,0.118,0,0.122,0.662,123.998,148629,3,"Bad Memories (feat. Elley Duhé & FAST BOY)","Gab"
0.592,0.901,9,-6.003,0,0.0684,0.175,0.132,0.0932,0.237,123.999,173258,4,"Bad Memories ft. Elley Duhe and FAST BOY (ODIZZEA Remix) - Meduza ODIZZEA Remix","Gab"
0.659,0.579,5,-8.942,0,0.0334,0.0114,0.316,0.139,0.296,122.994,251729,4,"Sandman","Gab"
0.653,0.453,9,-14.505,0,0.0636,0.683,0.259,0.0807,0.11,122.017,177049,4,"Lost My Mind","Gab"
0.825,0.733,5,-7.251,0,0.0552,0.429,0.00755,0.0882,0.622,126.991,201142,4,"Colors","Gab"
0.889,0.871,11,-5.349,0,0.149,0.00176,0.586,0.279,0.491,124.008,178909,4,"Chill Like That","Gab"
0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4,"Unholy (feat. Kim Petras)","Gab"
0.806,0.848,7,-6.235,1,0.0792,0.113,0.0364,0.103,0.55,125.001,207840,4,"Temperature","Gab"
0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,4,"10:35","Gab"
0.271,0.697,5,-10.171,1,0.0819,0.00358,0.113,0.0747,0.282,119.85,201313,4,"I'm in Luv","Gab"
0.79,0.84,2,-4.637,1,0.0609,0.0025,0.422,0.0783,0.627,126.001,190499,4,"Silent","Gab"
0.729,0.734,7,-5.671,0,0.108,0.0444,5.34e-05,0.0871,0.321,123.087,190244,4,"Around You","Gab"
0.819,0.604,11,-9.691,0,0.0489,6.54e-05,0.00281,0.103,0.355,127.948,215625,4,"Time of The Season","Gab"
0.476,0.541,1,-6.844,0,0.279,0.187,0.00812,0.315,0.516,79.963,257561,4,"Promises (Delusion Remix)","Gab"
0.665,0.666,9,-7.009,1,0.429,0.0331,0,0.0841,0.844,164.205,152195,4,"Put It On Me","Gab"
0.272,0.481,9,-9.959,1,0.0494,0.199,0.0846,0.356,0.0359,86.634,180923,4,"Butter & Gold","Gab"
0.759,0.806,2,-6.113,1,0.0484,0.00776,0.0291,0.34,0.208,126.005,141475,4,"Heal Me - Born Dirty Remix","Gab"
0.781,0.85,11,-3.334,0,0.0299,0.0155,0.00824,0.381,0.612,124.028,160307,4,"Synchronize - RAC Mix","Gab"
